,city,price
0,seattle,20995
1,seattle,20995
2,seattle,55
3,seattle,11993
4,seattle,11993
5,seattle,5200
6,seattle,22998
7,seattle,2900
8,seattle,22998
9,seattle,4200
10,seattle,3500
11,seattle,28995
12,seattle,35000
13,seattle,24500
14,seattle,28995
15,seattle,43000
16,seattle,47999
17,seattle,4500
18,seattle,9500
19,seattle,19500
20,seattle,168000
21,seattle,26999
22,seattle,3700
23,seattle,45
24,seattle,11000
25,seattle,255000
26,seattle,35
27,seattle,22000
28,seattle,100
29,seattle,45
30,seattle,24000
31,seattle,18995
32,seattle,47950
33,seattle,33500
34,seattle,675
35,seattle,8500
36,seattle,30
37,seattle,9500
38,seattle,8900
39,seattle,50
40,seattle,325
41,seattle,8500
42,seattle,3000
43,seattle,13500
44,seattle,46818
45,seattle,695
46,seattle,29999
47,seattle,9800
48,seattle,24999
49,seattle,59400
50,seattle,200
51,seattle,33999
52,seattle,20500
53,seattle,40
54,seattle,32899
55,seattle,33999
56,seattle,55
57,seattle,36582
58,seattle,20999
59,seattle,33999
60,seattle,69500
61,seattle,234515
62,seattle,24999
63,seattle,27999
64,seattle,5000
65,seattle,32000
66,seattle,100
67,seattle,5800
68,seattle,57999
69,seattle,34500
70,seattle,55995
71,seattle,7000
72,seattle,7900
73,seattle,65000
74,seattle,800
75,seattle,36000
76,seattle,2100
77,seattle,2100
78,miami,43500
79,miami,1
80,miami,8000
81,miami,150
82,miami,350
83,miami,6500
84,miami,25000
85,miami,39500
86,miami,13500
87,miami,14000
88,miami,14000
89,miami,3300
90,miami,8900
91,miami,19000
92,miami,49000
93,miami,3500
94,miami,70000
95,miami,8350
96,miami,4800
97,miami,9995
98,miami,6800
99,miami,70
100,miami,200
101,miami,450
102,miami,1500
103,miami,2000
104,miami,80000
105,miami,50000
106,miami,49000
107,miami,1
108,miami,5500
109,miami,25000
110,miami,6800
111,miami,25000
112,miami,3300
113,miami,4500
114,miami,1800
115,miami,85000
116,miami,1
117,miami,60
118,miami,6000
119,miami,4300
120,miami,8700
121,miami,18000
122,miami,5500
123,miami,6700
124,miami,100
125,miami,2000
126,miami,49900
127,miami,5300
128,miami,3200
129,miami,8800
130,miami,49000
131,miami,57500
132,miami,18000
133,miami,10000
134,miami,25000
135,miami,3495
136,miami,24999
137,miami,13900
138,miami,44000
139,miami,1300
140,miami,75500
141,miami,10
142,miami,12500
143,miami,4450
144,miami,1
145,miami,15500
146,miami,1800
147,miami,625
148,miami,19900
149,miami,9000
150,miami,7382
151,miami,1495
152,miami,850
153,miami,1495
154,miami,50000
155,richmond,23000
156,richmond,21000
157,richmond,119500
158,richmond,3100
159,richmond,119500
160,richmond,5250
161,richmond,400
162,richmond,5500
163,richmond,30
164,richmond,95000
165,richmond,29900
166,richmond,10500
167,richmond,16500
168,richmond,29000
169,richmond,3250
170,richmond,19950
171,richmond,49900
172,richmond,18900
173,richmond,29900
174,richmond,17900
175,richmond,10900
176,richmond,47900
177,richmond,59900
178,richmond,24900
179,richmond,17900
180,richmond,13900
181,richmond,79900
182,richmond,22900
183,richmond,26900
184,richmond,14000
185,richmond,28500
186,richmond,10000
187,richmond,41999
188,richmond,28995
189,richmond,17899
190,richmond,6000
191,richmond,5900
192,richmond,14900
193,richmond,14900
194,richmond,19900
195,richmond,19900
196,richmond,18900
197,richmond,18900
198,richmond,21900
199,richmond,68500
200,richmond,160
201,richmond,12900
202,richmond,6500
203,richmond,21900
204,richmond,72900
205,richmond,45900
206,richmond,52900
207,richmond,45900
208,richmond,26900
209,richmond,14900
210,richmond,22900
211,richmond,12900
212,richmond,24900
213,richmond,49900
214,richmond,64900
215,richmond,20900
216,richmond,23900
217,richmond,13900
218,richmond,13900
219,richmond,23900
220,richmond,23900
221,richmond,1500
222,richmond,23900
223,richmond,24900
224,richmond,24900
225,richmond,24900
226,richmond,69900
227,richmond,72900
228,richmond,25900
229,richmond,79900
230,richmond,16900
231,richmond,54900
232,richmond,16900
233,richmond,22900
234,richmond,41900
235,richmond,54900
236,richmond,29900
237,richmond,59900
238,richmond,21900
239,richmond,25900
240,richmond,109995
241,richmond,37900
242,richmond,45900
243,richmond,11900
244,richmond,84900
245,richmond,84900
246,richmond,75900
247,richmond,1500
248,richmond,33995
249,richmond,25000
250,columbus,3200
251,columbus,34000
252,columbus,11500
253,columbus,18900
254,columbus,7500
255,columbus,31500
256,columbus,3000
257,columbus,5000
258,columbus,250
259,columbus,1500
260,columbus,18000
261,columbus,6000
262,columbus,15000
263,columbus,3200
264,columbus,47900
265,columbus,1999
266,columbus,31995
267,columbus,179995
268,columbus,182995
269,columbus,67995
270,columbus,24995
271,columbus,154995
272,columbus,13995
273,columbus,64995
274,columbus,53900
275,columbus,24995
276,columbus,36995
277,columbus,89995
278,columbus,1900
279,columbus,86995
280,columbus,45899
281,columbus,89995
282,columbus,64995
283,columbus,4000
284,columbus,29399
285,columbus,2499
286,columbus,1200
287,columbus,18500
288,columbus,9999
289,columbus,13500
290,columbus,6800
291,columbus,42000
292,columbus,3000
293,columbus,6400
294,columbus,16495
295,columbus,175
296,columbus,3950
297,columbus,15200
298,columbus,27000
299,columbus,24980
300,columbus,13980
301,columbus,4500
302,columbus,6000
303,columbus,5999
304,columbus,6000
305,columbus,15000
306,columbus,5000
307,columbus,5000
