title,summary
Data Scientist / Machine Learning Scientist,"Data Scientist / Machine Learning Scientist. Strong knowledge of computer vision, sensor data fusion and analytics, and machine learning algorithms with proven..."
"Research Engineer* (Maplewood, MN) Job","
Data handling and analytics. The Research Engineer will be part of a team of scientists and technicians using approximately 90 weathering machines to study 3M..."
Scientist - Analytical R&D,"
The Associate Scientist / Scientist will provide technical support to assigned projects, using robust scientific methods which comply with standard operating..."
"Data Scientist - Eden Prairie, MN","
Data Scientists work closely with the Business, data stewards, scrum masters, project managers, and other software teams to turn data into actionable signals..."
Senior Statistician,"
Provide thought leadership and project leadership to develop advanced analytic methodologies to detect patterns in mid- and large-scale clinical, product..."
Associate Scientist / Scientist - Analytical R&D,"
The Associate Scientist / Scientist will provide technical support to assigned projects, using robust scientific methods which comply with standard operating..."
Senior Research Analyst,"
Develop insights relevant to specific communications needs/challenges as they relate to targets, media channels, brands, products, categories and business..."
Sr. Data Scientist,"
Infor Retail's DEMAND Group is a talented group of data scientists and business consultants who use predictive analytics, technical, and business skills to help..."
Data Scientist Lead,"
This position leads a team of data scientists and other data related professionals in exploring, connecting and mining internal data sources for the overall..."
Business Analyst & Data Hacker,"
Exploring When I Work data -- lots of different data streams to seek out trends, business intelligence, and any other key insights that will help the business..."
Associate Statistical Modeler,"
Assemble, merge, and parse large amounts of data to detect meaningful trends and patterns. The incumbent will have a firm understanding of data mining,..."
"ETL Developer, Data Warehouse","Work with Data Scientists, Report Developers, and Product Owners to understand business requirements and specific data-related issues...."
Data Scientist / Machine Learning Scientist,"Data Scientist / Machine Learning Scientist. Strong knowledge of computer vision, sensor data fusion and analytics, and machine learning algorithms with proven..."
"Research Engineer* (Maplewood, MN) Job","
Data handling and analytics. The Research Engineer will be part of a team of scientists and technicians using approximately 90 weathering machines to study 3M..."
Scientist - Analytical R&D,"
The Associate Scientist / Scientist will provide technical support to assigned projects, using robust scientific methods which comply with standard operating..."
"Data Scientist - Eden Prairie, MN","
Data Scientists work closely with the Business, data stewards, scrum masters, project managers, and other software teams to turn data into actionable signals..."
Senior Statistician,"
Provide thought leadership and project leadership to develop advanced analytic methodologies to detect patterns in mid- and large-scale clinical, product..."
Associate Scientist / Scientist - Analytical R&D,"
The Associate Scientist / Scientist will provide technical support to assigned projects, using robust scientific methods which comply with standard operating..."
Senior Research Analyst,"
Develop insights relevant to specific communications needs/challenges as they relate to targets, media channels, brands, products, categories and business..."
Sr. Data Scientist,"
Infor Retail's DEMAND Group is a talented group of data scientists and business consultants who use predictive analytics, technical, and business skills to help..."
Data Scientist Lead,"
This position leads a team of data scientists and other data related professionals in exploring, connecting and mining internal data sources for the overall..."
Business Analyst & Data Hacker,"
Exploring When I Work data -- lots of different data streams to seek out trends, business intelligence, and any other key insights that will help the business..."
Associate Statistical Modeler,"
Assemble, merge, and parse large amounts of data to detect meaningful trends and patterns. The incumbent will have a firm understanding of data mining,..."
"ETL Developer, Data Warehouse","Work with Data Scientists, Report Developers, and Product Owners to understand business requirements and specific data-related issues...."
Data Scientist / Machine Learning Scientist,"Data Scientist / Machine Learning Scientist. Strong knowledge of computer vision, sensor data fusion and analytics, and machine learning algorithms with proven..."
"Lead Research Analyst - Eden Prairie, MN or Boston, MA","
Design and Programming for research studies in support of SU2C (60%) may include (but are not limited to) Creating analytic data sets from OLDW data Design or..."
Senior Research Scientist IV – Cyber Security,"
Senior Research Scientist – Cyber Security. Senior Research Scientist IV – Cyber Security. Minimum 3 year’s domain experience in analysis of embedded systems...."
Quantitative Analyst,"
Working knowledge of VBA, C/C++, SQL, SPSS, S-Plus, R is a plus. Experience applying Basel A-IRB regulatory capital rules...."
Scientist,"
Experience working with clinical study data and performing statistical analyses. Analyze and present data from animal and clinical studies...."
Market Research Analyst - Senior Living,"
Review and analyze health care and real estate data from a variety of secondary sources including government organizations, on-line data services, and internal..."
R&D Sensory Scientist,"
Demonstrate strong analytical skills through written reports and review of data and trends. They currently have a new opportunity for an R&D Sensory Scientist..."
Software Engineer,"
Ecolab is looking for a talented data scientist to work in a start-up like in-house innovation hub chartered with creating big data analytics and data science..."
Medical Laboratory Scientist/Medical Technologist Technical Lead,"
In partnership with the University of Minnesota, Fairview is an academic health system committed to nation-leading research and educating tomorrow’s physicians..."
"NoSQL, Hadoop, Cassandra Architect - Golden Valley, MN","
You are good at interfacing with a variety of stakeholders, including data scientists, software engineers, and the business...."
Data Visualization Business Analyst,"
They will work with Data Scientists to surface the underlying data needed to support the desired visualizations...."
"ETL Developer, Data Warehouse","Work with Data Scientists, Report Developers, and Product Owners to understand business requirements and specific data-related issues...."
Data Scientist / Machine Learning Scientist,"Data Scientist / Machine Learning Scientist. Strong knowledge of computer vision, sensor data fusion and analytics, and machine learning algorithms with proven..."
Data Analysis/Metadata,"
This is ahigh visibility project leveraging Microsoft's PDW appliance and SQL Server technology. Test Data Warehouses/Data Marts...."
Associate Statistical Modeler,"
Assemble, merge, and parse large amounts of data to detect meaningful trends and patterns. The incumbent will have a firm understanding of data mining,..."
Phenotyping and Crop Analytics Lead,"
He/she will also participate in project teams for applying the most appropriate measurement technology to trait discovery, breeding, agronomy/physiology, and..."
"Engineer II, Product Development","
Serves as subject matter expert on data analysis techniques for other teams. Minimum of 3-5 years of relevant, progressively more responsible work experience in..."
IT Developer/Analyst,"
CRAY) provides innovative systems and solutions enabling scientists and engineers in industry, academia and government to meet existing and future simulation..."
Principal Software Enginee,"
Ecolab is looking for a talented data scientist to work in a start-up like in-house innovation hub chartered with creating big data analytics and data science..."
Research\Remediation Analyst 4,"
Experience and knowledge of Condo and Cooperative project reviews. Relevant military experience is considered for veterans and transitioning service men and..."
Engineer/Scientist Resrch III,"
O Coordinate with on-site machine shop to design, fabricate, and assemble custom test fixtures and fuel cell devices. Excel, Matlab, Python, R, etc.)...."
"Research Analyst - Eden Prairie, MN","
So when it comes to how we use the world's large accumulation of health-related information, or guide health and lifestyle choices or manage pharmacy benefits..."
ETL/Database Developer,"
Work with Data Scientists, Report Developers, and Product Owners to understand business requirements and specific data-related issues...."
"ETL Developer, Data Warehouse","Work with Data Scientists, Report Developers, and Product Owners to understand business requirements and specific data-related issues...."
Data Scientist / Machine Learning Scientist,"Data Scientist / Machine Learning Scientist. Strong knowledge of computer vision, sensor data fusion and analytics, and machine learning algorithms with proven..."
"Computer Vision Data Scientist (Maplewood, MN) Job","
Collect and prepare real world data for computer vision, machine learning, data science, probabilistic inference, and/or computational statistics applications...."
Data Officer,"
This would include supporting data scientists applying and deploying machine learning models on huge amounts of stored unstructured data...."
Research Scientist,"
Experience working with clinical study data and performing statistical analyses. Analyze and present data from animal and clinical studies...."
Prin Statistician,"
Experience applying Bayesian methods to clinical trials. At least 5 years of experience in the design and analysis of clinical studies, or at least 3 years with..."
Healthcare Analytics Consultant - Telecommute,"
Healthcare Analytics Consultant is responsible for performing comprehensive research and analysis, managing analytical project portfolios, identifying..."
Biological Mass Spectrometry Analyst,"
\*Must be able to understand and translate life scientist researchers' scientific goals into analytical strategies and process requirements...."
Research and Data Analysis Supervisor,"
Knowledge of health care data processes, such as claims payment, program enrollment, provider data, and electronic health records...."
Risk Analyst - Lead Statistician,"
Support the Op Risk Management Team in other assignments to apprehend and manage risk. R, Matlab, SAS, or some other statistical language...."
Data Scientist,"
Seek out opportunities to improve our data infrastructure and processes, from data acquisition, through data quality and governance, to data visualization...."
Data Scientist,"
3 - 5 years post university experience in advanced analytics in the fields of data science and applying specific data analytics methods in manufacturing/retail..."
"ETL Developer, Data Warehouse","Work with Data Scientists, Report Developers, and Product Owners to understand business requirements and specific data-related issues...."
Data Scientist - Austin,"How a Data Scientist works. As a Data Scientist at Indeed your role is to follow the data. We are looking for a mixture between a statistician, scientist,..."
Data Scientist,"
Role - Data Scientist. Experience in data modeling, data mining, data cleansing, and statistical techniques. Really knows the data scientist approach and tools...."
Data Scientist,"
As a Data Scientist you will work with our clients to define a business problem into an analytical problem, determine solution requirements, design the analysis..."
