,char, race, charclass, level,min_date,max_date
0,2,Orc,Shaman,18,2008-12-03,2008-12-03
1,7,Orc,Hunter,71,2008-01-15,2008-12-28
2,9,Orc,Hunter,70,2008-01-01,2008-06-29
3,10,Orc,Hunter,61,2008-07-06,2008-11-07
4,19,Orc,Rogue,70,2008-01-07,2008-12-29
5,21,Orc,Hunter,70,2008-01-01,2008-12-27
6,22,Orc,Warrior,63,2008-01-21,2008-12-06
7,23,Orc,Hunter,71,2008-01-02,2008-12-09
8,26,Orc,Hunter,61,2008-02-09,2008-11-23
9,27,Orc,Hunter,65,2008-06-25,2008-07-02
10,28,Orc,Hunter,80,2008-01-01,2008-12-31
11,29,Orc,Hunter,61,2008-11-05,2008-12-06
12,31,Orc,Shaman,70,2008-05-24,2008-11-23
13,32,Orc,Shaman,61,2008-04-20,2008-11-16
14,34,Orc,Warrior,80,2008-01-05,2008-12-29
15,36,Orc,Shaman,70,2008-01-01,2008-10-08
16,37,Orc,Warrior,70,2008-01-04,2008-12-22
17,38,Orc,Hunter,70,2008-02-21,2008-11-19
18,39,Orc,Rogue,60,2008-01-04,2008-09-24
19,41,Orc,Shaman,60,2008-02-06,2008-06-12
20,44,Orc,Rogue,70,2008-01-01,2008-11-15
21,45,Orc,Hunter,70,2008-01-01,2008-06-24
22,48,Orc,Warrior,61,2008-08-31,2008-12-26
23,49,Orc,Warrior,60,2008-03-10,2008-09-27
24,51,Orc,Hunter,70,2008-01-05,2008-04-07
25,53,Orc,Hunter,80,2008-01-01,2008-12-31
26,54,Orc,Warlock,76,2008-02-28,2008-12-25
27,55,Orc,Hunter,80,2008-11-16,2008-12-30
28,56,Orc,Hunter,70,2008-01-02,2008-07-06
29,57,Orc,Warrior,70,2008-01-01,2008-11-09
30,59,Orc,Warrior,80,2008-08-17,2008-12-25
31,62,Orc,Warrior,70,2008-01-01,2008-11-23
32,64,Orc,Hunter,70,2008-01-01,2008-09-13
33,68,Tauren,Warrior,74,2008-01-01,2008-12-29
34,72,Tauren,Druid,49,2008-05-22,2008-10-29
35,73,Tauren,Warrior,60,2008-01-26,2008-12-15
36,77,Tauren,Shaman,12,2008-02-14,2008-12-06
37,84,Tauren,Warrior,80,2008-01-01,2008-12-31
38,86,Tauren,Shaman,72,2008-01-02,2008-12-27
39,87,Tauren,Shaman,70,2008-01-01,2008-12-26
40,88,Tauren,Shaman,36,2008-01-02,2008-02-25
41,90,Tauren,Druid,70,2008-01-01,2008-05-06
42,91,Tauren,Druid,70,2008-01-01,2008-12-27
43,94,Tauren,Warrior,80,2008-01-01,2008-12-31
44,95,Tauren,Hunter,70,2008-01-01,2008-11-06
45,96,Tauren,Shaman,70,2008-01-04,2008-10-27
46,101,Tauren,Shaman,60,2008-03-11,2008-04-01
47,102,Tauren,Druid,60,2008-02-24,2008-06-28
48,108,Tauren,Warrior,70,2008-03-18,2008-11-26
49,109,Tauren,Druid,70,2008-04-12,2008-11-09
50,112,Tauren,Druid,76,2008-01-01,2008-12-31
51,113,Tauren,Druid,80,2008-01-01,2008-12-30
52,114,Tauren,Druid,60,2008-02-12,2008-11-14
53,118,Tauren,Druid,70,2008-01-01,2008-04-08
54,122,Tauren,Hunter,70,2008-01-05,2008-09-16
55,126,Tauren,Hunter,60,2008-05-09,2008-05-09
56,127,Tauren,Shaman,70,2008-05-27,2008-07-29
57,128,Tauren,Warrior,70,2008-05-27,2008-12-03
58,130,Tauren,Druid,61,2008-01-14,2008-12-25
59,132,Tauren,Warrior,80,2008-01-02,2008-12-31
60,133,Tauren,Hunter,72,2008-01-01,2008-12-30
61,135,Tauren,Warrior,70,2008-01-03,2008-12-27
62,140,Tauren,Warrior,80,2008-01-01,2008-12-31
63,141,Tauren,Shaman,80,2008-01-01,2008-12-31
64,143,Tauren,Hunter,60,2008-01-09,2008-10-04
65,144,Tauren,Druid,70,2008-01-01,2008-09-17
66,147,Tauren,Shaman,66,2008-07-13,2008-11-29
67,148,Tauren,Shaman,70,2008-01-01,2008-12-10
68,149,Tauren,Shaman,70,2008-01-01,2008-06-24
69,150,Tauren,Warrior,60,2008-05-30,2008-08-24
70,152,Tauren,Warrior,80,2008-01-01,2008-12-31
71,155,Tauren,Warrior,70,2008-01-01,2008-11-14
72,158,Tauren,Warrior,65,2008-01-15,2008-02-05
73,159,Tauren,Warrior,80,2008-01-01,2008-12-31
74,161,Tauren,Warrior,60,2008-01-07,2008-02-28
75,162,Tauren,Warrior,80,2008-01-01,2008-12-31
76,163,Tauren,Hunter,60,2008-01-21,2008-12-18
77,165,Tauren,Shaman,70,2008-03-10,2008-05-12
78,166,Tauren,Shaman,70,2008-01-01,2008-09-30
79,169,Tauren,Shaman,78,2008-01-12,2008-12-31
80,171,Tauren,Shaman,70,2008-01-01,2008-07-26
81,172,Tauren,Shaman,80,2008-10-23,2008-12-31
82,173,Tauren,Shaman,60,2008-11-28,2008-12-02
83,174,Tauren,Druid,70,2008-01-17,2008-12-25
84,176,Tauren,Druid,70,2008-01-02,2008-12-03
85,177,Tauren,Druid,78,2008-09-18,2008-12-31
86,178,Tauren,Druid,73,2008-01-01,2008-11-23
87,180,Tauren,Druid,70,2008-01-01,2008-12-21
88,182,Troll,Hunter,1,2008-01-01,2008-12-31
89,185,Troll,Shaman,70,2008-01-03,2008-08-19
90,189,Troll,Rogue,12,2008-11-04,2008-11-04
91,191,Troll,Rogue,70,2008-01-15,2008-09-03
92,193,Troll,Shaman,40,2008-01-30,2008-01-30
93,194,Troll,Warrior,30,2008-03-31,2008-03-31
94,195,Troll,Rogue,70,2008-01-01,2008-07-24
95,196,Troll,Hunter,34,2008-03-16,2008-12-28
96,197,Troll,Priest,70,2008-01-01,2008-01-11
97,201,Troll,Hunter,64,2008-01-01,2008-12-27
98,203,Troll,Mage,71,2008-01-01,2008-12-27
99,212,Troll,Mage,70,2008-01-19,2008-11-22
100,215,Troll,Hunter,80,2008-01-01,2008-12-31
101,216,Troll,Shaman,60,2008-07-13,2008-12-15
102,218,Troll,Priest,60,2008-09-12,2008-11-04
103,219,Troll,Rogue,60,2008-07-06,2008-12-26
104,221,Troll,Mage,70,2008-01-01,2008-12-03
105,223,Troll,Rogue,64,2008-10-24,2008-10-24
106,228,Troll,Priest,60,2008-02-11,2008-10-24
107,229,Troll,Rogue,70,2008-05-10,2008-10-10
108,230,Troll,Warrior,70,2008-01-01,2008-07-13
109,231,Troll,Priest,70,2008-01-18,2008-07-08
110,236,Troll,Warrior,70,2008-01-01,2008-09-26
111,237,Troll,Priest,70,2008-01-01,2008-09-26
112,239,Troll,Mage,60,2008-02-03,2008-11-08
113,241,Troll,Hunter,70,2008-01-02,2008-01-09
114,244,Troll,Hunter,60,2008-01-06,2008-01-11
115,246,Troll,Priest,76,2008-01-01,2008-12-29
116,261,Undead,Warlock,71,2008-01-02,2008-12-31
117,262,Undead,Warrior,27,2008-06-01,2008-06-01
118,271,Undead,Mage,71,2008-01-01,2008-12-20
119,273,Undead,Mage,62,2008-12-04,2008-12-04
120,278,Undead,Mage,80,2008-05-09,2008-12-26
121,281,Undead,Mage,37,2008-04-16,2008-10-28
122,286,Undead,Mage,77,2008-01-11,2008-12-14
123,289,Undead,Warlock,71,2008-02-07,2008-12-31
124,291,Undead,Mage,70,2008-01-01,2008-12-31
125,292,Undead,Mage,70,2008-01-01,2008-11-11
126,293,Undead,Rogue,51,2008-01-08,2008-12-28
127,294,Undead,Priest,66,2008-01-20,2008-12-18
128,296,Undead,Mage,69,2008-01-01,2008-01-29
129,297,Undead,Warlock,72,2008-01-11,2008-12-30
130,300,Undead,Mage,70,2008-01-01,2008-12-31
131,301,Undead,Priest,74,2008-01-06,2008-12-21
132,303,Undead,Priest,70,2008-01-01,2008-12-28
133,308,Undead,Mage,77,2008-01-01,2008-12-30
